,Theme,Company
209,렘데시비르,"['파미셀', '뉴지랩', 'SK케미칼', '제일약품', '진원생명과학', '신풍제약', '에스티팜', '엑세스바이오', '에이프로젠제약', '바이오니아', '엔지켐생명과학', 'SK하이닉스', '부광약품', '한올바이오파마']"
210,첨생법,"['파미셀', '프로스테믹스', '홈캐스트', '엠젠플러스']"
211,이뮨메드,"['우노앤컴퍼니', 'SV인베스트먼트', '마크로젠']"
212,랄록시펜,"['대한뉴팜', '에이프로젠제약', '신풍제약']"
213,언택트,"['비트컴퓨터', 'KG모빌리언스', '카카오', '코리아센터', '지어소프트', '카페24', '한진중공업', '인프라웨어', '라온시큐어', '유비케어', '아시아나항공', '인성정보']"
214,나파모스타트,"['뉴지랩', 'SK케미칼', '종근당', '제일약품', '파미셀', '명문제약', '제일파마홀딩스', '씨젠', 'YBM넷', '동화기업']"
215,메트포르민,"['대한뉴팜', '신풍제약', '대웅제약']"
216,애플,"['센트랄모텍', '아모그린텍', 'LG이노텍', '이녹스첨단소재', '삼성전기', '세경하이테크', 'KH바텍', '삼성증권']"
217,닭,"['하림', '마니커', '미래생명자원', '우성사료', '정다운', '전방', '키움증권', '강원', '현대사료', '체리부로', '한일사료', '마니커에프앤지']"
218,드론,"['퍼스텍', '해성옵틱스', '한국항공우주', '기산텔레콤', '아시아경제', '엠씨넥스', '피씨디렉트', '한화에어로스페이스', '네온테크', '뉴로스', '파트론', '제이씨현시스템']"
219,,
220,QR코드,['아이크래프트']
221,,
222,재생에너지,"['씨에스윈드', '현대에너지솔루션', '신성이엔지']"
223,,
224,우주선,['켄코아에어로스페이스']
225,방산,"['한일단조', '스페코', '빅텍']"
226,신재생에너지,['신성이엔지']
227,괴질,"['고려제약', '명문제약', '조아제약']"
228,디지털화폐,['케이씨티']
229,그린뉴딜,"['유니슨', '비츠로테크', 'LG화학', '삼성SDI', '풍국주정', '세종공업', '에코바이오', '한온시스템', '성창오토텍', '유비쿼스', '인스코비']"
230,원격의료,"['삼성전자', '인피니트헬스케어', '솔본', '인성정보', '비트컴퓨터', '나노엔텍', '유비케어', '소프트센', '아이센스', '뷰웍스']"
231,월드컵,"['팜스토리', '이지홀딩스', '이지바이오']"
232,옵티시스,['옵티시스']
233,BLU제조,"['삼진엘앤디', '이라이콤']"
234,,
235,,
236,양자,['우리넷']
237,,
238,캠핑,['라이브플렉스']
239,qr코드,"['다날', '아이크래프트', '모베이스전자']"
240,혈장치료제,"['레몬', '녹십자랩셀', '진양제약', '녹십자', '에스맥']"
241,노바백스,"['씨젠', '오상자이엘']"
242,하이드록시클로로퀸,"['파미셀', '신풍제약', '화일약품', '비씨월드제약']"
243,전자인증,['한국정보인증']
